"27","AGISCA REMOUCHAMPS","agisca-remouchamps","Rue Marsale",,"Aywaille",,"4920",,,,,,,,"0","<p>POSITION : situé au centre récréatif dans le hall d'entrée</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.7089733478","50.480242506","18","34","62","1","0",,"Aywaille, 4920, remouchamps, centre récréatif","639"
"28","CENTRE SPORTIF AYWAILLE","centre-sportif-aywaille","Rue de la Heid 36",,"Aywaille",,"4920",,,,,,,,"0","<p>POSITION 1 : situé dans le hall d'entrée du hall omnisport</p>
<hr class=""system-pagebreak"" />
<p>POSITION 2 : situé dans le hall de la piscine</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.6797452963","50.475522032","17","34","62","1","0",,"centre sportif, piscine, aywaille, 4920, hall omnisport","638"
"29","MINERAL PRODUCTS INTERNATIONAL","mineral-products-international","Champs de Tignée 1",,"Barchon",,"4671",,,,,,,,"0",,,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.6947066999","50.662403","13","34","62","1","0",,"barchon, 4671, mineral products international","637"
"30","3B FIBREGLASS","3b-fibreglass","Rue Maestricht 67-69 ",,"Battice",,"4651",,,,,,,,"0","<p>POSITION : situé au rez-de-chaussée dans le locale leaders de pause</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.8159881999","50.6495087","13","34","62","1","0",,"battice, 4651, fibreglass","636"
"31","AXA DÉPÔT","axa-alleur","Rue d'Othée 214 ",,"Alleur",,"4432",,,,,,,,"0","<p>POSITION : situé au rez-de-chaussée mur local prem. Sec.</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.5260117999","50.6675641","13","34","62","1","0",,"axa, alleur, 4432, ","635"
"32","PROV-LG RÉGIE DES BÂTIMENTS","regie-provinciale","Rue de Wallonie 30 ",,"Grace-Hollogne",,"4460",,,,,,,"8-régie_provinciale_des_bâtiments_-_grâce_hollogne.jpg","0","<p>POSITION : situé au rez-de-chaussée dans le local administratif du chef de service.</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.4856655999","50.651677799","10","34","62","1","0",,"bierset,4460,regie provinciale,services des cars","634"
"33","MOURY","moury","Rue du moulin 320",,"Bressoux",,"4020",,,,,,,,"0","<p>POSITION : situé au rez-de-chaussée à la réception</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.6055232999","50.6435232","13","34","62","1","0",,"bressoux, 4020, maury","633"
"34","BURDINNE","burdinne","Rue des Ecoles 3",,"Burdinne",,"4210",,,,,,,,"0","<p>POSITION : situé dans le bureau du cadastre</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.0731769999","50.5835248","13","34","62","1","0",,"burdinne, 4210, ","632"
"35","COCA COLA BELGIUM","coca-cola","Avenue des Thermes 143 ",,"Chaudfontaine",,"4050",,,,,,,,"0","<p>POSITION : situé dans le hall de la nouvelle usine</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.6497445999","50.5864819","12","34","62","1","0",,"chaudfontaine, coca cola, 4050","631"
"36","OMNISPORTS CHERATTE","omnisports-cheratte","Rue de Visé 105",,"Cheratte",,"4602",,,,,,,,"0","<p>POSITION : situé à la cafétaria au rez-de-chaussée</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.6699307999","50.6821322","13","34","62","1","0",,"cheratte, 4602, omnisports","630"
